file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_18.pdb,-22.888781,10.575411447675158,0.125
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_11.pdb,-20.286234,5.213367136925747,0.285714
4s0v_receptor_only_dc_aligned_ZINC000101495288_1_1.pdb,-19.222337,4.9060276102144185,0.333333
4s0v_receptor_only_dc_aligned_ZINC000101495288_12_9.pdb,-18.880037,5.786959721825763,0.125
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_14.pdb,-18.612622,7.498532602033928,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_0.pdb,-18.482629,1.6927420914815519,0.272727
4s0v_receptor_only_dc_aligned_ZINC000101495288_14_0.pdb,-18.363146,6.471886856389308,0.272727
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_6.pdb,-18.104217,5.479262069737188,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_0.pdb,-17.99822,1.8218215295914284,0.5
4s0v_receptor_only_dc_aligned_ZINC000101495288_3_12.pdb,-17.954922,6.136648529319824,0.1
4s0v_receptor_only_dc_aligned_ZINC000101495288_14_1.pdb,-17.900377,5.97708476886248,0.2
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_8.pdb,-17.712267,5.053418472271254,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_5.pdb,-17.557789,5.162999545375828,0.166667
4s0v_receptor_only_dc_aligned_ZINC000101495288_12_1.pdb,-17.29412,6.219865101370295,0.1
4s0v_receptor_only_dc_aligned_ZINC000101495288_1_13.pdb,-17.070185,2.7474148842416106,0.1
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_4.pdb,-17.056875,5.333128259253307,0.125
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_10.pdb,-16.83384,4.492745887156945,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_10.pdb,-16.305259,14.028109752203395,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_14_3.pdb,-16.180503,6.042828856191437,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_0.pdb,-16.111129,1.5190929467010865,0.333333
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_10.pdb,-16.004166,6.328127248680974,0.375
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_9.pdb,-15.974293,11.071717146182275,0.333333
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_19.pdb,-15.838429,2.343641913329383,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_14.pdb,-15.797983,5.866549639355635,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_12_0.pdb,-15.797803,6.139777936736311,0.375
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_5.pdb,-15.611,8.019222129459092,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_5.pdb,-15.602256,10.741386680867862,0.166667
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_3.pdb,-15.586196,3.2342168053431366,0.285714
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_2.pdb,-15.581532,5.554298334490252,0.111111
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_13.pdb,-15.50212,5.120806878939311,0.125
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_0.pdb,-15.50179,1.7361310974221797,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_16.pdb,-15.499032,8.75867436872171,0.285714
4s0v_receptor_only_dc_aligned_ZINC000101495288_14_5.pdb,-15.474577,5.632340146392643,0.090909
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_24.pdb,-15.467482,8.648368704855313,0.285714
4s0v_receptor_only_dc_aligned_ZINC000101495288_13_7.pdb,-15.423276,4.68809687985495,0.333333
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_3.pdb,-15.384111,7.80838906063379,0.111111
4s0v_receptor_only_dc_aligned_ZINC000101495288_13_1.pdb,-15.36133,4.916148224322519,0.285714
4s0v_receptor_only_dc_aligned_ZINC000101495288_11_13.pdb,-15.346171,8.243394243490101,0.125
4s0v_receptor_only_dc_aligned_ZINC000101495288_12_2.pdb,-15.293767,5.817149241310966,0.375
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_23.pdb,-15.263893,8.611852811161581,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_35.pdb,-15.232524,6.432421906717159,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_3.pdb,-15.210083,5.055049008036581,0.111111
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_26.pdb,-15.193466,6.774198329273056,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_27.pdb,-15.184581,6.71962923673183,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_11_1.pdb,-15.171561,5.645730207196815,0.5
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_2.pdb,-15.143607,1.8202512943665035,0.222222
4s0v_receptor_only_dc_aligned_ZINC000101495288_9_28.pdb,-15.140224,8.589689300531745,0.285714
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_7.pdb,-15.087335,4.653536932904116,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_13_5.pdb,-15.071349,5.212284917375453,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_6_6.pdb,-15.02767,4.97774552068925,0.375
4s0v_receptor_only_dc_aligned_ZINC000101495288_13_0.pdb,-15.023055,4.595957317114317,0.285714
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_8.pdb,-15.000925,2.4350402475143107,0.333333
4s0v_receptor_only_dc_aligned_ZINC000101495288_1_10.pdb,-14.950695,11.48270688341617,0.166667
4s0v_receptor_only_dc_aligned_ZINC000101495288_13_3.pdb,-14.893295,6.216749299113811,0.1
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_17.pdb,-14.863483,7.951864241483993,0.125
4s0v_receptor_only_dc_aligned_ZINC000101495288_7_19.pdb,-14.820899,7.07725920529955,0.428571
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_4.pdb,-14.813697,5.046706111675367,0.125
4s0v_receptor_only_dc_aligned_ZINC000101495288_2_8.pdb,-14.743175,4.6663970348489645,0.25
4s0v_receptor_only_dc_aligned_ZINC000101495288_8_3.pdb,-14.740936,5.760318179642656,0.111111
4s0v_receptor_only_dc_aligned_ZINC000101495288_10_36.pdb,-14.72261,8.588530581015137,0.142857
4s0v_receptor_only_dc_aligned_ZINC000101495288_4_1.pdb,-14.682889,5.138091064844482,0.125
