file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z1157843291_6_2.pdb,-18.485251,0.7554307975051191,0.2
4s0v_receptor_only_dc_aligned_Z1157843291_6_3.pdb,-18.37313,1.244275460570013,0.181818
4s0v_receptor_only_dc_aligned_Z1157843291_4_7.pdb,-18.366965,0.9657181315434833,0.25
4s0v_receptor_only_dc_aligned_Z1157843291_2_1.pdb,-17.791896,1.5790964010309922,0.25
4s0v_receptor_only_dc_aligned_Z1157843291_4_9.pdb,-17.71947,1.4280407195923304,0.222222
4s0v_receptor_only_dc_aligned_Z1157843291_4_4.pdb,-16.949668,0.5332800988394671,0.444444
4s0v_receptor_only_dc_aligned_Z1157843291_4_10.pdb,-16.577719,1.285815099978154,0.285714
4s0v_receptor_only_dc_aligned_Z1157843291_4_2.pdb,-16.571407,2.3160281892996024,0.571429
4s0v_receptor_only_dc_aligned_Z1157843291_6_0.pdb,-16.31964,3.3010275015692874,0.285714
4s0v_receptor_only_dc_aligned_Z1157843291_10_10.pdb,-16.237546,3.001479206164719,0.25
4s0v_receptor_only_dc_aligned_Z1157843291_8_1.pdb,-16.196995,3.855349620247459,0.125
4s0v_receptor_only_dc_aligned_Z1157843291_5_1.pdb,-16.194139,3.6579068213285093,0.111111
4s0v_receptor_only_dc_aligned_Z1157843291_6_8.pdb,-16.142742,1.014891516561097,0.25
4s0v_receptor_only_dc_aligned_Z1157843291_7_1.pdb,-16.069051,3.1986238460630543,0.142857
4s0v_receptor_only_dc_aligned_Z1157843291_10_1.pdb,-15.961587,3.184557076417861,0.285714
4s0v_receptor_only_dc_aligned_Z1157843291_7_5.pdb,-15.831924,2.0170665674306623,0.090909
4s0v_receptor_only_dc_aligned_Z1157843291_8_0.pdb,-15.814269,3.5825953504662684,0.142857
4s0v_receptor_only_dc_aligned_Z1157843291_5_5.pdb,-15.78319,7.197271950248241,0.111111
4s0v_receptor_only_dc_aligned_Z1157843291_10_2.pdb,-15.739384,3.14107623280206,0.142857
4s0v_receptor_only_dc_aligned_Z1157843291_7_0.pdb,-15.632439,3.139112439100582,0.125
