file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_PV-001874522098_10_1.pdb,-15.231621,4.303318354284714,0.142857
4s0v_receptor_only_dc_aligned_PV-001874522098_12_0.pdb,-13.35709,3.5988205508163453,0.142857
4s0v_receptor_only_dc_aligned_PV-001874522098_10_0.pdb,-13.215403,2.0108265940431145,0.285714
4s0v_receptor_only_dc_aligned_PV-001874522098_2_0.pdb,-13.055743,4.768513109217551,0.166667
4s0v_receptor_only_dc_aligned_PV-001874522098_12_1.pdb,-11.309131,2.4958074942292097,0.333333
4s0v_receptor_only_dc_aligned_PV-001874522098_6_0.pdb,-10.634208,4.99118878319894,0.1
