file,ddg,distance
4s0v_receptor_only_dc_aligned_Z316677874_11_0.pdb,-22.03569,2.761672005404474
4s0v_receptor_only_dc_aligned_Z316677874_13_1.pdb,-21.624676,2.054658846394134
4s0v_receptor_only_dc_aligned_Z316677874_13_0.pdb,-21.620138,2.798675299409477
4s0v_receptor_only_dc_aligned_Z316677874_3_3.pdb,-20.563633,7.916058238415463
4s0v_receptor_only_dc_aligned_Z316677874_3_4.pdb,-19.842302,8.34831390166475
4s0v_receptor_only_dc_aligned_Z316677874_7_2.pdb,-19.555952,3.507808490846766
4s0v_receptor_only_dc_aligned_Z316677874_7_1.pdb,-19.285516,3.669529724912559
4s0v_receptor_only_dc_aligned_Z316677874_7_5.pdb,-19.053669,3.777705958931634
4s0v_receptor_only_dc_aligned_Z316677874_7_4.pdb,-18.853537,5.164374017139588
4s0v_receptor_only_dc_aligned_Z316677874_7_6.pdb,-18.485692,4.836842257863012
4s0v_receptor_only_dc_aligned_Z316677874_7_3.pdb,-18.412153,5.144827145888484
4s0v_receptor_only_dc_aligned_Z316677874_7_0.pdb,-17.617077,5.22811588577276
4s0v_receptor_only_dc_aligned_Z316677874_7_9.pdb,-17.593809,3.064401520122101
4s0v_receptor_only_dc_aligned_Z316677874_8_0.pdb,-17.012934,4.989884800873503
4s0v_receptor_only_dc_aligned_Z316677874_7_8.pdb,-16.93135,3.8554819906837396
4s0v_receptor_only_dc_aligned_Z316677874_7_7.pdb,-16.522093,3.850291650409428
4s0v_receptor_only_dc_aligned_Z316677874_12_3.pdb,-16.434626,1.3340695617531517
4s0v_receptor_only_dc_aligned_Z316677874_1_1.pdb,-16.317584,7.127142373147247
4s0v_receptor_only_dc_aligned_Z316677874_12_2.pdb,-15.914265,8.487443215365992
4s0v_receptor_only_dc_aligned_Z316677874_9_6.pdb,-14.72829,8.40196027542831
4s0v_receptor_only_dc_aligned_Z316677874_8_3.pdb,-13.919196,3.745005578093099
4s0v_receptor_only_dc_aligned_Z316677874_3_0.pdb,-13.561562,4.389640528121503
4s0v_receptor_only_dc_aligned_Z316677874_9_5.pdb,-13.409185,3.838638147848976
4s0v_receptor_only_dc_aligned_Z316677874_12_1.pdb,-12.420002,10.264545095162713
4s0v_receptor_only_dc_aligned_Z316677874_3_1.pdb,-12.296676,4.2411782277083265
4s0v_receptor_only_dc_aligned_Z316677874_3_2.pdb,-12.082231,4.239802035159846
4s0v_receptor_only_dc_aligned_Z316677874_10_0.pdb,-11.917172,10.212537628808859
4s0v_receptor_only_dc_aligned_Z316677874_9_1.pdb,-11.809237,11.059099063598255
4s0v_receptor_only_dc_aligned_Z316677874_9_3.pdb,-11.780781,4.8559008542854025
4s0v_receptor_only_dc_aligned_Z316677874_1_0.pdb,-11.56223,6.016393162945417
4s0v_receptor_only_dc_aligned_Z316677874_8_1.pdb,-11.481114,5.549431652958325
4s0v_receptor_only_dc_aligned_Z316677874_12_0.pdb,-11.443068,10.588090379925097
4s0v_receptor_only_dc_aligned_Z316677874_9_2.pdb,-11.403904,6.531408081520648
4s0v_receptor_only_dc_aligned_Z316677874_10_1.pdb,-11.387659,7.344279786410824
4s0v_receptor_only_dc_aligned_Z316677874_9_8.pdb,-10.798198,6.1334178006474875
4s0v_receptor_only_dc_aligned_Z316677874_9_7.pdb,-10.778715,10.719175735016039
4s0v_receptor_only_dc_aligned_Z316677874_9_4.pdb,-10.702593,4.838466708449272
4s0v_receptor_only_dc_aligned_Z316677874_9_0.pdb,-10.1616,5.946738756923596
4s0v_receptor_only_dc_aligned_Z316677874_8_2.pdb,-9.169788,3.060680828280078
