file,ddg,distance
4s0v_receptor_only_dc_aligned_Z847964730_6_1.pdb,-18.827499,2.544284996129515
4s0v_receptor_only_dc_aligned_Z847964730_6_11.pdb,-17.696622,2.8964317277055036
4s0v_receptor_only_dc_aligned_Z847964730_5_2.pdb,-17.363663,4.1775690794916915
4s0v_receptor_only_dc_aligned_Z847964730_2_2.pdb,-16.850305,4.226387733050497
4s0v_receptor_only_dc_aligned_Z847964730_12_4.pdb,-16.84603,4.700625846779513
4s0v_receptor_only_dc_aligned_Z847964730_6_7.pdb,-16.765048,3.1046434160739342
4s0v_receptor_only_dc_aligned_Z847964730_13_1.pdb,-16.714447,3.07952179579
4s0v_receptor_only_dc_aligned_Z847964730_2_5.pdb,-16.549029,4.494313368021007
4s0v_receptor_only_dc_aligned_Z847964730_2_1.pdb,-16.539145,1.9853021444539851
4s0v_receptor_only_dc_aligned_Z847964730_2_3.pdb,-16.47738,5.041236185908157
4s0v_receptor_only_dc_aligned_Z847964730_1_1.pdb,-16.43501,4.031129204671084
4s0v_receptor_only_dc_aligned_Z847964730_2_4.pdb,-16.110451,4.916641041325052
4s0v_receptor_only_dc_aligned_Z847964730_2_6.pdb,-16.073513,4.672694882833719
4s0v_receptor_only_dc_aligned_Z847964730_12_15.pdb,-15.956384,4.9934108003290065
4s0v_receptor_only_dc_aligned_Z847964730_12_5.pdb,-15.930781,3.5997727794691285
4s0v_receptor_only_dc_aligned_Z847964730_12_1.pdb,-15.846819,4.694888302420675
4s0v_receptor_only_dc_aligned_Z847964730_12_11.pdb,-15.616286,3.2201097875894122
4s0v_receptor_only_dc_aligned_Z847964730_12_0.pdb,-15.427599,4.670457262185288
4s0v_receptor_only_dc_aligned_Z847964730_12_19.pdb,-15.418692,4.37285053263388
4s0v_receptor_only_dc_aligned_Z847964730_6_9.pdb,-15.404119,0.9114862511059134
4s0v_receptor_only_dc_aligned_Z847964730_12_3.pdb,-15.374589,4.547672379449746
4s0v_receptor_only_dc_aligned_Z847964730_12_18.pdb,-15.285268,2.9044172673023207
4s0v_receptor_only_dc_aligned_Z847964730_7_0.pdb,-15.20594,3.7801462754340593
4s0v_receptor_only_dc_aligned_Z847964730_13_0.pdb,-15.20505,4.549584703890872
4s0v_receptor_only_dc_aligned_Z847964730_1_0.pdb,-14.949154,5.756783404518115
4s0v_receptor_only_dc_aligned_Z847964730_3_1.pdb,-14.906194,4.599319663924275
4s0v_receptor_only_dc_aligned_Z847964730_6_4.pdb,-14.882727,3.900645157098273
4s0v_receptor_only_dc_aligned_Z847964730_6_6.pdb,-14.791054,2.1744174559804317
4s0v_receptor_only_dc_aligned_Z847964730_3_2.pdb,-14.739632,4.651427870134922
4s0v_receptor_only_dc_aligned_Z847964730_5_1.pdb,-14.647978,4.78025554541689
4s0v_receptor_only_dc_aligned_Z847964730_5_3.pdb,-14.595384,8.3863796909141
4s0v_receptor_only_dc_aligned_Z847964730_7_1.pdb,-14.525713,8.327832350539612
