file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_ZINC001156200858_2_2.pdb,-15.187237,1.0740820654995895,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_2_6.pdb,-14.352224,3.464344390999094,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_2_0.pdb,-14.148535,1.3609830890065295,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_2_15.pdb,-14.105984,3.6314179748688167,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_14_5.pdb,-14.057773,3.969330377404944,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_11_4.pdb,-13.073992,5.582727964996365,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_1_0.pdb,-13.015964,2.5282571402482557,0.125
4s0v_receptor_only_dc_aligned_ZINC001156200858_7_3.pdb,-12.98777,1.1342680713711601,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_6_22.pdb,-12.82089,2.4882779904103516,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_8_9.pdb,-12.818789,3.892946432623281,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_13_11.pdb,-12.642368,5.169347707200126,0.25
4s0v_receptor_only_dc_aligned_ZINC001156200858_12_5.pdb,-12.630734,5.742160032619657,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_2_13.pdb,-12.624539,4.202959030070476,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_2_8.pdb,-12.603257,0.4036019835131158,0.285714
4s0v_receptor_only_dc_aligned_ZINC001156200858_8_10.pdb,-12.563317,0.7708396041841649,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_6_20.pdb,-12.537725,2.413669741680838,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_3_15.pdb,-12.485739,4.172617457400991,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_12_9.pdb,-12.480166,9.234519833492149,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_7_0.pdb,-12.457179,3.7943904517891633,0.142857
4s0v_receptor_only_dc_aligned_ZINC001156200858_11_6.pdb,-12.451348,5.704604930870781,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_9_2.pdb,-12.423392,2.152248415496811,0.111111
4s0v_receptor_only_dc_aligned_ZINC001156200858_12_7.pdb,-12.317967,5.081090243839634,0.285714
4s0v_receptor_only_dc_aligned_ZINC001156200858_8_12.pdb,-12.293558,4.904305449612961,0.125
4s0v_receptor_only_dc_aligned_ZINC001156200858_6_8.pdb,-12.250591,2.877404355063572,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_2_7.pdb,-12.236971,0.4602644296066636,0.166667
4s0v_receptor_only_dc_aligned_ZINC001156200858_5_8.pdb,-12.23312,2.5952970706767924,0.166667
