file,ddg,distance
4s0v_receptor_only_dc_aligned_Z1095050586_8_5.pdb,-20.070641,6.043068092255915
4s0v_receptor_only_dc_aligned_Z1095050586_4_8.pdb,-19.252982,5.667567282132927
4s0v_receptor_only_dc_aligned_Z1095050586_8_8.pdb,-18.730827,5.988226055509061
4s0v_receptor_only_dc_aligned_Z1095050586_2_13.pdb,-18.026323,4.926093461313344
4s0v_receptor_only_dc_aligned_Z1095050586_2_21.pdb,-17.918774,8.133888297324031
4s0v_receptor_only_dc_aligned_Z1095050586_1_35.pdb,-17.895434,6.783676301869512
4s0v_receptor_only_dc_aligned_Z1095050586_2_30.pdb,-17.848203,6.661628685781977
4s0v_receptor_only_dc_aligned_Z1095050586_10_0.pdb,-17.738773,4.991412213670703
4s0v_receptor_only_dc_aligned_Z1095050586_8_13.pdb,-17.723125,5.437308803281928
4s0v_receptor_only_dc_aligned_Z1095050586_1_16.pdb,-17.157492,6.599952845849955
4s0v_receptor_only_dc_aligned_Z1095050586_1_32.pdb,-17.07759,4.734906577213992
4s0v_receptor_only_dc_aligned_Z1095050586_4_0.pdb,-16.993949,4.172375212757893
4s0v_receptor_only_dc_aligned_Z1095050586_9_24.pdb,-16.943748,5.127167550352192
4s0v_receptor_only_dc_aligned_Z1095050586_4_7.pdb,-16.842948,5.630274734520008
4s0v_receptor_only_dc_aligned_Z1095050586_9_11.pdb,-16.715661,5.3203402230816375
4s0v_receptor_only_dc_aligned_Z1095050586_3_8.pdb,-16.690478,1.5667972310861564
4s0v_receptor_only_dc_aligned_Z1095050586_1_9.pdb,-16.647575,4.698149748869093
4s0v_receptor_only_dc_aligned_Z1095050586_1_3.pdb,-16.370644,10.903133985384201
4s0v_receptor_only_dc_aligned_Z1095050586_1_11.pdb,-16.061103,10.624575845811178
4s0v_receptor_only_dc_aligned_Z1095050586_1_15.pdb,-16.029244,4.75415838846838
4s0v_receptor_only_dc_aligned_Z1095050586_7_4.pdb,-15.987848,5.317280078968815
4s0v_receptor_only_dc_aligned_Z1095050586_12_5.pdb,-15.912702,5.343776348038586
4s0v_receptor_only_dc_aligned_Z1095050586_8_0.pdb,-15.873195,3.427341583695154
4s0v_receptor_only_dc_aligned_Z1095050586_12_14.pdb,-15.799438,6.131519373766481
4s0v_receptor_only_dc_aligned_Z1095050586_1_34.pdb,-15.568024,8.638481733754446
4s0v_receptor_only_dc_aligned_Z1095050586_1_6.pdb,-15.438102,5.854468292875602
4s0v_receptor_only_dc_aligned_Z1095050586_2_9.pdb,-15.379166,7.91323754655895
4s0v_receptor_only_dc_aligned_Z1095050586_1_18.pdb,-15.318445,7.000026205598024
4s0v_receptor_only_dc_aligned_Z1095050586_5_0.pdb,-15.069275,3.857079406623407
4s0v_receptor_only_dc_aligned_Z1095050586_9_22.pdb,-15.062766,5.50641382162551
4s0v_receptor_only_dc_aligned_Z1095050586_1_19.pdb,-15.027485,6.396311487591557
4s0v_receptor_only_dc_aligned_Z1095050586_12_2.pdb,-15.003793,9.808645711491188
4s0v_receptor_only_dc_aligned_Z1095050586_4_6.pdb,-14.950788,9.092054867776692
4s0v_receptor_only_dc_aligned_Z1095050586_5_2.pdb,-14.91594,4.876149048473712
4s0v_receptor_only_dc_aligned_Z1095050586_2_7.pdb,-14.884455,7.019933329079287
4s0v_receptor_only_dc_aligned_Z1095050586_12_1.pdb,-14.88369,9.968185251016036
4s0v_receptor_only_dc_aligned_Z1095050586_1_10.pdb,-14.817633,5.595591353386599
4s0v_receptor_only_dc_aligned_Z1095050586_12_24.pdb,-14.721665,9.777969232637417
4s0v_receptor_only_dc_aligned_Z1095050586_7_1.pdb,-14.668057,5.229824978815492
4s0v_receptor_only_dc_aligned_Z1095050586_4_5.pdb,-14.608263,3.7274358946008106
4s0v_receptor_only_dc_aligned_Z1095050586_9_20.pdb,-14.593035,4.2764504027626105
4s0v_receptor_only_dc_aligned_Z1095050586_2_32.pdb,-14.576363,8.599869314556694
4s0v_receptor_only_dc_aligned_Z1095050586_2_22.pdb,-14.509707,7.9477930440555955
4s0v_receptor_only_dc_aligned_Z1095050586_11_3.pdb,-14.279198,5.04649269603429
4s0v_receptor_only_dc_aligned_Z1095050586_2_29.pdb,-14.229425,9.117421414128549
4s0v_receptor_only_dc_aligned_Z1095050586_2_18.pdb,-14.192354,8.559574201966523
4s0v_receptor_only_dc_aligned_Z1095050586_2_19.pdb,-14.180991,8.36674636894918
4s0v_receptor_only_dc_aligned_Z1095050586_2_23.pdb,-14.144265,6.740436922712402
4s0v_receptor_only_dc_aligned_Z1095050586_7_13.pdb,-14.132659,5.426540912933672
4s0v_receptor_only_dc_aligned_Z1095050586_3_0.pdb,-14.123019,3.5780318802262077
4s0v_receptor_only_dc_aligned_Z1095050586_12_17.pdb,-14.115423,7.193522656506428
4s0v_receptor_only_dc_aligned_Z1095050586_2_24.pdb,-14.108972,4.306557762682072
