file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z64344437_5_0.pdb,-15.820437,6.240000454616255,0.3
4s0v_receptor_only_dc_aligned_Z64344437_1_2.pdb,-15.253611,2.432822464922861,0.230769
4s0v_receptor_only_dc_aligned_Z64344437_1_6.pdb,-14.822337,7.504691576383126,0.375
4s0v_receptor_only_dc_aligned_Z64344437_1_0.pdb,-14.147877,7.233265012584838,0.142857
4s0v_receptor_only_dc_aligned_Z64344437_11_1.pdb,-12.092158,6.7730646912404735,0.166667
4s0v_receptor_only_dc_aligned_Z64344437_1_5.pdb,-11.258077,5.672227211881579,0.142857
4s0v_receptor_only_dc_aligned_Z64344437_1_3.pdb,-11.049997,4.040964958558328,0.076923
4s0v_receptor_only_dc_aligned_Z64344437_11_0.pdb,-11.01655,4.23929600900977,0.166667
4s0v_receptor_only_dc_aligned_Z64344437_1_4.pdb,-9.839942,4.991273436329019,0.083333
4s0v_receptor_only_dc_aligned_Z64344437_1_1.pdb,-9.794846,5.725560800205674,0.166667
4s0v_receptor_only_dc_aligned_Z64344437_1_7.pdb,-9.754852,9.390417492797816,0.25
