file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_PV-002011719663_5_4.pdb,-19.374863,2.9066754879958485,0.222222
4s0v_receptor_only_dc_aligned_PV-002011719663_5_2.pdb,-19.215234,2.680099423355141,0.4
4s0v_receptor_only_dc_aligned_PV-002011719663_14_0.pdb,-17.625588,6.432372705235411,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_5_3.pdb,-17.411725,3.214394169879511,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_14_1.pdb,-16.416987,6.690576986638561,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_9_0.pdb,-16.028584,8.30115026249125,0.142857
4s0v_receptor_only_dc_aligned_PV-002011719663_14_2.pdb,-15.815757,5.851491693346538,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_7_0.pdb,-15.775451,5.908437771095647,0.111111
4s0v_receptor_only_dc_aligned_PV-002011719663_12_3.pdb,-15.572112,5.155394490627666,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_12_2.pdb,-15.352867,8.306944789247147,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_2_0.pdb,-15.204063,10.477705551224128,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_14_3.pdb,-15.11544,8.028245376431773,0.111111
4s0v_receptor_only_dc_aligned_PV-002011719663_13_2.pdb,-14.99383,10.324078090851858,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_4_4.pdb,-14.408594,7.130187017255803,0.222222
4s0v_receptor_only_dc_aligned_PV-002011719663_3_1.pdb,-14.298601,9.338652945458191,0.25
4s0v_receptor_only_dc_aligned_PV-002011719663_6_0.pdb,-14.239416,5.815688232236899,0.071429
4s0v_receptor_only_dc_aligned_PV-002011719663_12_0.pdb,-14.159636,7.597986648433917,0.25
4s0v_receptor_only_dc_aligned_PV-002011719663_3_0.pdb,-13.762586,9.389761781680505,0.125
4s0v_receptor_only_dc_aligned_PV-002011719663_3_2.pdb,-13.642863,8.453455247927973,0.25
4s0v_receptor_only_dc_aligned_PV-002011719663_14_4.pdb,-13.532974,11.285346576069953,0.25
4s0v_receptor_only_dc_aligned_PV-002011719663_13_1.pdb,-13.249876,10.523129195611432,0.333333
4s0v_receptor_only_dc_aligned_PV-002011719663_5_5.pdb,-13.118015,4.7125928047992005,0.166667
4s0v_receptor_only_dc_aligned_PV-002011719663_4_3.pdb,-13.104782,7.05530012821808,0.222222
4s0v_receptor_only_dc_aligned_PV-002011719663_12_1.pdb,-12.678976,7.639658483609315,0.222222
4s0v_receptor_only_dc_aligned_PV-002011719663_4_1.pdb,-11.756354,11.679797588659337,0.222222
4s0v_receptor_only_dc_aligned_PV-002011719663_13_0.pdb,-11.647068,11.334901617868963,0.142857
4s0v_receptor_only_dc_aligned_PV-002011719663_4_0.pdb,-10.994412,9.431880605821204,0.111111
4s0v_receptor_only_dc_aligned_PV-002011719663_5_0.pdb,-10.863246,6.2552037809595005,0.2
4s0v_receptor_only_dc_aligned_PV-002011719663_4_2.pdb,-10.283126,7.339814249256306,0.3
4s0v_receptor_only_dc_aligned_PV-002011719663_5_1.pdb,-9.393688,6.238441513859731,0.2
