file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z1662726236_1_5.pdb,-20.429508,3.6806496851332224,0.3
4s0v_receptor_only_dc_aligned_Z1662726236_8_21.pdb,-18.661685,7.662453277628114,0.2
4s0v_receptor_only_dc_aligned_Z1662726236_3_0.pdb,-17.970649,3.737573298398262,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_1.pdb,-17.580526,4.10580108401789,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_8_14.pdb,-17.561807,3.9685566229487215,0.222222
4s0v_receptor_only_dc_aligned_Z1662726236_10_6.pdb,-17.557411,4.195328539312284,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_8_26.pdb,-17.329471,4.470686089196096,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_5_3.pdb,-17.328707,3.154701475658044,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_10_7.pdb,-17.257606,4.571154841573418,0.571429
4s0v_receptor_only_dc_aligned_Z1662726236_10_4.pdb,-17.171251,4.454854622888684,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_10_27.pdb,-17.09698,3.690127203807046,0.1
4s0v_receptor_only_dc_aligned_Z1662726236_11_13.pdb,-17.062286,4.178907285548591,0.25
4s0v_receptor_only_dc_aligned_Z1662726236_5_7.pdb,-17.056985,3.008385521134486,0.375
4s0v_receptor_only_dc_aligned_Z1662726236_3_16.pdb,-17.002777,2.161224802727355,0.222222
4s0v_receptor_only_dc_aligned_Z1662726236_5_18.pdb,-16.921244,2.960283705016607,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_12.pdb,-16.758934,4.1487362820368885,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_5_25.pdb,-16.709907,3.5543407485178435,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_5_39.pdb,-16.674103,2.8140998513171844,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_11_11.pdb,-16.622652,5.052515710533743,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_10_11.pdb,-16.594391,4.276797205445351,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_2_33.pdb,-16.59363,5.78042968479251,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_5_43.pdb,-16.402599,4.17901443334227,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_7_5.pdb,-16.337787,2.0693345998137085,0.555556
4s0v_receptor_only_dc_aligned_Z1662726236_3_9.pdb,-16.317592,3.7059693216919385,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_5_2.pdb,-16.286672,3.704664595089646,0.4
4s0v_receptor_only_dc_aligned_Z1662726236_10_24.pdb,-16.265828,4.87087266841406,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_17.pdb,-16.201937,4.85694552520152,0.571429
4s0v_receptor_only_dc_aligned_Z1662726236_5_13.pdb,-16.189419,2.800351981398619,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_5_5.pdb,-16.175693,3.009169220265583,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_30.pdb,-16.121146,3.6704121340203786,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_5_34.pdb,-16.089102,3.2281350747070103,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_10_26.pdb,-16.074575,3.851605464588021,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_2_41.pdb,-16.004646,4.7991525086246325,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_13.pdb,-15.974825,4.356185468859235,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_3_12.pdb,-15.886909,3.385608635284778,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_5_32.pdb,-15.784924,3.477462387389595,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_5_4.pdb,-15.672472,4.2232884851609125,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_1_3.pdb,-15.667212,3.5491159244459336,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_20.pdb,-15.656359,4.960560217570724,0.666667
4s0v_receptor_only_dc_aligned_Z1662726236_10_19.pdb,-15.655102,5.21441134374386,0.571429
4s0v_receptor_only_dc_aligned_Z1662726236_5_50.pdb,-15.637957,2.856639761743457,0.25
4s0v_receptor_only_dc_aligned_Z1662726236_5_53.pdb,-15.611974,3.3010837573717193,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_3_27.pdb,-15.556891,2.102826595603278,0.444444
4s0v_receptor_only_dc_aligned_Z1662726236_12_17.pdb,-15.52216,5.879162246713674,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_22.pdb,-15.487631,4.7103655488514065,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_5_51.pdb,-15.450108,3.6650960042798637,0.444444
4s0v_receptor_only_dc_aligned_Z1662726236_10_34.pdb,-15.336406,3.0044460148921597,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_5_23.pdb,-15.317439,3.558402548508509,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_5_1.pdb,-15.258527,4.522386243144202,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_1_0.pdb,-15.249662,3.644542513095129,0.666667
4s0v_receptor_only_dc_aligned_Z1662726236_5_54.pdb,-15.245319,3.452973010300193,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_11_12.pdb,-15.167188,5.823208281847013,0.125
4s0v_receptor_only_dc_aligned_Z1662726236_5_47.pdb,-15.157125,3.4437203751889234,0.6
4s0v_receptor_only_dc_aligned_Z1662726236_5_30.pdb,-15.089466,3.538073922533967,0.375
4s0v_receptor_only_dc_aligned_Z1662726236_9_1.pdb,-15.053055,4.007665382747069,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_9_10.pdb,-15.040261,2.8135243414129514,0.222222
4s0v_receptor_only_dc_aligned_Z1662726236_5_44.pdb,-15.014749,6.726093519421725,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_10_31.pdb,-15.01022,3.763691609692796,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_5_33.pdb,-15.000778,5.4519597173416035,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_5_19.pdb,-14.927568,2.876386594166426,0.375
4s0v_receptor_only_dc_aligned_Z1662726236_6_5.pdb,-14.913222,3.6497247668423447,0.142857
4s0v_receptor_only_dc_aligned_Z1662726236_2_31.pdb,-14.839258,3.3297201817501554,0.142857
4s0v_receptor_only_dc_aligned_Z1662726236_4_1.pdb,-14.792864,3.86912105316549,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_10_29.pdb,-14.791648,3.60372214609123,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_8_29.pdb,-14.787693,4.209153973647841,0.444444
4s0v_receptor_only_dc_aligned_Z1662726236_5_41.pdb,-14.736994,4.031677298482647,0.571429
4s0v_receptor_only_dc_aligned_Z1662726236_7_3.pdb,-14.670224,7.552541566932434,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_11_5.pdb,-14.63279,4.512985134423712,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_2_19.pdb,-14.611173,2.8240967227253293,0.555556
4s0v_receptor_only_dc_aligned_Z1662726236_2_32.pdb,-14.60309,5.869784363431371,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_5_49.pdb,-14.550964,4.290393689439307,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_11_2.pdb,-14.466538,4.1068405899776375,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_5_36.pdb,-14.460919,5.461160240395832,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_9_6.pdb,-14.44112,4.0371466825599995,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_9_2.pdb,-14.306909,3.6323433686465902,0.571429
4s0v_receptor_only_dc_aligned_Z1662726236_2_13.pdb,-14.274726,5.735297910556817,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_5_45.pdb,-14.272121,3.5157201777889147,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_3.pdb,-14.228291,4.096435474306373,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_11_3.pdb,-14.180303,4.344578699298062,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_5_16.pdb,-14.132418,4.0372731951251595,0.142857
4s0v_receptor_only_dc_aligned_Z1662726236_2_9.pdb,-14.123603,6.881887586265851,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_11_10.pdb,-14.11847,4.397901939628512,0.142857
4s0v_receptor_only_dc_aligned_Z1662726236_5_37.pdb,-14.099966,3.2334677762213087,0.125
4s0v_receptor_only_dc_aligned_Z1662726236_3_5.pdb,-14.024115,3.0569620104875397,0.444444
4s0v_receptor_only_dc_aligned_Z1662726236_2_3.pdb,-14.008713,2.6403219838119516,0.3
4s0v_receptor_only_dc_aligned_Z1662726236_9_3.pdb,-13.9768,3.917783626285088,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_12_27.pdb,-13.943999,5.8379065111156025,0.25
4s0v_receptor_only_dc_aligned_Z1662726236_11_0.pdb,-13.914597,7.996206135717037,0.25
4s0v_receptor_only_dc_aligned_Z1662726236_5_0.pdb,-13.891265,4.21643459652197,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_9_12.pdb,-13.828199,5.384125829920961,0.571429
4s0v_receptor_only_dc_aligned_Z1662726236_6_8.pdb,-13.808278,7.511420168235273,0.25
4s0v_receptor_only_dc_aligned_Z1662726236_11_8.pdb,-13.802287,5.129198593789566,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_5_35.pdb,-13.757236,5.627791433320445,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_3_11.pdb,-13.745715,3.1377910692265103,0.444444
4s0v_receptor_only_dc_aligned_Z1662726236_5_17.pdb,-13.717369,4.1060168902827465,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_2_29.pdb,-13.681482,8.758468835013916,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_9_8.pdb,-13.675012,5.2842247454129545,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_5_6.pdb,-13.655908,4.330848870438831,0.571429
4s0v_receptor_only_dc_aligned_Z1662726236_6_3.pdb,-13.654907,3.5610604258284315,0.375
4s0v_receptor_only_dc_aligned_Z1662726236_5_29.pdb,-13.624497,4.526250271173815,0.142857
4s0v_receptor_only_dc_aligned_Z1662726236_9_4.pdb,-13.61609,4.1718094397671255,0.285714
4s0v_receptor_only_dc_aligned_Z1662726236_5_38.pdb,-13.597662,5.59457207740134,0.428571
4s0v_receptor_only_dc_aligned_Z1662726236_10_10.pdb,-13.521065,3.6631706606336696,0.625
4s0v_receptor_only_dc_aligned_Z1662726236_3_14.pdb,-13.487383,6.070463098487937,0.142857
4s0v_receptor_only_dc_aligned_Z1662726236_12_25.pdb,-13.481193,5.282618229369446,0.333333
4s0v_receptor_only_dc_aligned_Z1662726236_12_9.pdb,-13.417571,3.691313967675809,0.142857
4s0v_receptor_only_dc_aligned_Z1662726236_12_19.pdb,-13.387663,3.9665617093545467,0.375
4s0v_receptor_only_dc_aligned_Z1662726236_2_24.pdb,-13.385918,7.676021257696979,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_5_48.pdb,-13.365502,7.42209950553542,0.375
4s0v_receptor_only_dc_aligned_Z1662726236_2_5.pdb,-13.33241,2.9554898473669784,0.555556
4s0v_receptor_only_dc_aligned_Z1662726236_2_42.pdb,-13.288777,6.886042844809609,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_1_11.pdb,-13.252587,3.54718473620534,0.25
4s0v_receptor_only_dc_aligned_Z1662726236_12_1.pdb,-13.206364,3.9367195020367207,0.222222
4s0v_receptor_only_dc_aligned_Z1662726236_12_6.pdb,-13.13232,2.6090804305169577,0.363636
4s0v_receptor_only_dc_aligned_Z1662726236_6_11.pdb,-13.106602,2.4332963320961127,0.375
4s0v_receptor_only_dc_aligned_Z1662726236_8_1.pdb,-13.089131,5.9856818069988265,0.166667
4s0v_receptor_only_dc_aligned_Z1662726236_1_9.pdb,-13.081589,4.4211592313512025,0.5
4s0v_receptor_only_dc_aligned_Z1662726236_10_0.pdb,-13.0771,3.6775643103718014,0.333333
