file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z2142751374_10_27.pdb,-14.910859,0.753190460306255,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_2_9.pdb,-14.88965,1.4577637499963891,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_10_11.pdb,-14.377705,0.8303400969212384,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_9_41.pdb,-14.267666,0.7087857354499975,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_9_40.pdb,-14.23328,0.7089684904681868,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_9_25.pdb,-14.213301,0.7721240546511018,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_3_7.pdb,-14.152073,1.5073584145846755,0.25
4s0v_receptor_only_dc_aligned_Z2142751374_2_17.pdb,-14.11558,1.6142300016585358,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_1_13.pdb,-14.087935,1.2339520589858557,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_9_38.pdb,-13.970318,0.8013972244314393,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_2_6.pdb,-13.957707,2.2415606839483844,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_10_32.pdb,-13.921091,0.7593232798700149,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_9_12.pdb,-13.890794,1.4834022896352292,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_4_3.pdb,-13.851479,1.693769124162717,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_3_14.pdb,-13.724725,1.9454735529719605,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_8_6.pdb,-13.70642,0.6623618054062707,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_9_42.pdb,-13.685625,3.045106531329143,0.111111
4s0v_receptor_only_dc_aligned_Z2142751374_2_8.pdb,-13.676122,3.06907439883343,0.5
4s0v_receptor_only_dc_aligned_Z2142751374_2_13.pdb,-13.665707,3.090819353510052,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_9_15.pdb,-13.635908,3.5835165160226996,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_1_8.pdb,-13.57553,2.6896647329435197,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_10_26.pdb,-13.571348,0.5850461915339454,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_1_0.pdb,-13.492133,0.8798604774753455,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_7_7.pdb,-13.453343,0.7402378096637761,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_1_7.pdb,-13.420556,1.0015925338556753,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_3_15.pdb,-13.373562,1.909859845579719,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_4_2.pdb,-13.353552,2.5031265835002756,0.5
4s0v_receptor_only_dc_aligned_Z2142751374_9_1.pdb,-13.269177,3.1900403357961107,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_7_0.pdb,-13.258642,1.1135472093291987,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_2_26.pdb,-13.128601,5.290060153946471,0.285714
4s0v_receptor_only_dc_aligned_Z2142751374_2_2.pdb,-13.111361,1.874289643064182,0.25
4s0v_receptor_only_dc_aligned_Z2142751374_1_11.pdb,-13.04394,3.02092540229453,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_3_10.pdb,-12.974687,1.220162660732853,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_9_0.pdb,-12.941566,3.283653073943596,0.111111
4s0v_receptor_only_dc_aligned_Z2142751374_13_0.pdb,-12.885064,1.5832891237438695,0.333333
4s0v_receptor_only_dc_aligned_Z2142751374_5_11.pdb,-12.868143,3.0706267085011167,0.285714
4s0v_receptor_only_dc_aligned_Z2142751374_5_9.pdb,-12.8675,3.0005227973588546,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_4_5.pdb,-12.851554,2.729589698814721,0.285714
4s0v_receptor_only_dc_aligned_Z2142751374_13_1.pdb,-12.843295,1.8492141369777353,0.166667
4s0v_receptor_only_dc_aligned_Z2142751374_8_8.pdb,-12.816722,0.7383824760919075,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_7_10.pdb,-12.804286,0.8673552470929929,0.125
4s0v_receptor_only_dc_aligned_Z2142751374_4_4.pdb,-12.79802,5.187633340050502,0.222222
4s0v_receptor_only_dc_aligned_Z2142751374_10_7.pdb,-12.791162,3.7677128010673013,0.142857
4s0v_receptor_only_dc_aligned_Z2142751374_2_23.pdb,-12.760078,5.182763890511555,0.142857
