file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z169873966_3_8.pdb,-16.681981,6.654768338465927,0.125
4s0v_receptor_only_dc_aligned_Z169873966_3_4.pdb,-16.629212,6.830280176216148,0.125
4s0v_receptor_only_dc_aligned_Z169873966_8_2.pdb,-16.26237,5.390091138809194,0.125
4s0v_receptor_only_dc_aligned_Z169873966_7_1.pdb,-15.777727,5.703833235094596,0.25
4s0v_receptor_only_dc_aligned_Z169873966_7_5.pdb,-15.501904,4.3515791663612395,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_12_2.pdb,-15.389228,4.4127861257627625,0.222222
4s0v_receptor_only_dc_aligned_Z169873966_7_3.pdb,-15.377534,4.6453446448384295,0.125
4s0v_receptor_only_dc_aligned_Z169873966_7_7.pdb,-15.339415,4.374634806810117,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_4_1.pdb,-15.114867,4.7575630846244295,0.125
4s0v_receptor_only_dc_aligned_Z169873966_9_0.pdb,-15.107752,6.825475677757034,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_9_1.pdb,-15.066139,5.652523582097197,0.125
4s0v_receptor_only_dc_aligned_Z169873966_9_3.pdb,-15.0425,4.931180563764727,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_13_0.pdb,-14.877824,6.627516793149123,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_3_5.pdb,-14.84918,7.715896890805152,0.111111
4s0v_receptor_only_dc_aligned_Z169873966_6_0.pdb,-14.73528,6.727324006297558,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_7_0.pdb,-14.709576,7.880006343037489,0.166667
4s0v_receptor_only_dc_aligned_Z169873966_12_1.pdb,-14.622512,4.497272273309537,0.333333
4s0v_receptor_only_dc_aligned_Z169873966_9_2.pdb,-14.553888,7.328338214789233,0.166667
4s0v_receptor_only_dc_aligned_Z169873966_2_0.pdb,-14.553832,6.673848540479694,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_7_8.pdb,-14.524016,4.824714712074938,0.142857
4s0v_receptor_only_dc_aligned_Z169873966_5_0.pdb,-14.473642,7.243479333544641,0.428571
4s0v_receptor_only_dc_aligned_Z169873966_1_4.pdb,-14.467732,5.743374273358594,0.1
4s0v_receptor_only_dc_aligned_Z169873966_3_1.pdb,-14.28759,6.5377008810529915,0.285714
4s0v_receptor_only_dc_aligned_Z169873966_6_1.pdb,-14.284739,5.667025829461001,0.125
4s0v_receptor_only_dc_aligned_Z169873966_5_3.pdb,-14.263512,6.396188330341687,0.166667
4s0v_receptor_only_dc_aligned_Z169873966_5_1.pdb,-14.181693,6.301058574144208,0.125
4s0v_receptor_only_dc_aligned_Z169873966_8_4.pdb,-13.91761,7.932204125105669,0.125
4s0v_receptor_only_dc_aligned_Z169873966_3_2.pdb,-13.91702,6.711688155539031,0.142857
