file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z1097024691_11_2.pdb,-17.672236,2.3774961250212376,0.142857
4s0v_receptor_only_dc_aligned_Z1097024691_11_0.pdb,-16.636593,2.540587859769039,0.285714
4s0v_receptor_only_dc_aligned_Z1097024691_11_3.pdb,-14.196717,3.057168542922634,0.166667
4s0v_receptor_only_dc_aligned_Z1097024691_11_6.pdb,-13.843024,3.128682907455001,0.142857
4s0v_receptor_only_dc_aligned_Z1097024691_11_1.pdb,-13.332791,3.527237521153839,0.142857
4s0v_receptor_only_dc_aligned_Z1097024691_11_7.pdb,-13.082637,4.9489221353408706,0.5
4s0v_receptor_only_dc_aligned_Z1097024691_11_4.pdb,-11.457523,3.316641877636321,0.285714
4s0v_receptor_only_dc_aligned_Z1097024691_11_5.pdb,-9.33284,3.420358235880442,0.333333
