file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_ZINC000009232876_7_6.pdb,-21.880426,1.8320701891751705,0.153846
4s0v_receptor_only_dc_aligned_ZINC000009232876_14_1.pdb,-20.622158,8.870727304436647,0.285714
4s0v_receptor_only_dc_aligned_ZINC000009232876_12_3.pdb,-20.322393,0.7885404411689184,0.375
4s0v_receptor_only_dc_aligned_ZINC000009232876_12_2.pdb,-20.208857,0.9009031510158835,0.111111
4s0v_receptor_only_dc_aligned_ZINC000009232876_12_0.pdb,-19.278085,0.587592928515778,0.2
4s0v_receptor_only_dc_aligned_ZINC000009232876_13_0.pdb,-18.768108,1.1027174699634508,0.3
4s0v_receptor_only_dc_aligned_ZINC000009232876_8_4.pdb,-18.396905,2.3446213344131035,0.090909
4s0v_receptor_only_dc_aligned_ZINC000009232876_8_5.pdb,-17.938159,5.722926609328949,0.333333
4s0v_receptor_only_dc_aligned_ZINC000009232876_9_7.pdb,-17.743242,5.123996837701354,0.25
4s0v_receptor_only_dc_aligned_ZINC000009232876_7_0.pdb,-17.610584,0.3289341428274345,0.25
4s0v_receptor_only_dc_aligned_ZINC000009232876_9_10.pdb,-17.570362,4.606471324881719,0.142857
4s0v_receptor_only_dc_aligned_ZINC000009232876_12_11.pdb,-17.347887,4.755303356983674,0.125
4s0v_receptor_only_dc_aligned_ZINC000009232876_13_1.pdb,-17.232311,0.9046634019187841,0.222222
4s0v_receptor_only_dc_aligned_ZINC000009232876_13_2.pdb,-17.169851,6.78499450884449,0.142857
4s0v_receptor_only_dc_aligned_ZINC000009232876_4_2.pdb,-17.064941,2.7715244591929564,0.25
4s0v_receptor_only_dc_aligned_ZINC000009232876_5_3.pdb,-16.93548,3.134417058618716,0.363636
4s0v_receptor_only_dc_aligned_ZINC000009232876_9_6.pdb,-16.831955,4.934532614864632,0.333333
4s0v_receptor_only_dc_aligned_ZINC000009232876_14_0.pdb,-16.612567,6.232955411892993,0.125
4s0v_receptor_only_dc_aligned_ZINC000009232876_3_1.pdb,-16.067731,5.3159581101033755,0.166667
4s0v_receptor_only_dc_aligned_ZINC000009232876_13_4.pdb,-15.960412,5.287223446465176,0.125
4s0v_receptor_only_dc_aligned_ZINC000009232876_4_1.pdb,-15.959336,3.5916241966315705,0.166667
4s0v_receptor_only_dc_aligned_ZINC000009232876_12_7.pdb,-15.878829,1.0215020380280289,0.230769
4s0v_receptor_only_dc_aligned_ZINC000009232876_10_0.pdb,-15.774122,6.043240365299417,0.142857
4s0v_receptor_only_dc_aligned_ZINC000009232876_6_4.pdb,-15.584079,5.763411081730507,0.3
4s0v_receptor_only_dc_aligned_ZINC000009232876_7_2.pdb,-15.408519,6.574102956724881,0.142857
4s0v_receptor_only_dc_aligned_ZINC000009232876_2_1.pdb,-15.392105,6.65255086635168,0.333333
4s0v_receptor_only_dc_aligned_ZINC000009232876_6_7.pdb,-15.381799,3.7409028037050547,0.083333
4s0v_receptor_only_dc_aligned_ZINC000009232876_12_6.pdb,-15.365611,6.563679014427646,0.375
4s0v_receptor_only_dc_aligned_ZINC000009232876_10_2.pdb,-15.173411,7.497019049325663,0.142857
4s0v_receptor_only_dc_aligned_ZINC000009232876_8_1.pdb,-15.12176,4.57939408173227,0.222222
4s0v_receptor_only_dc_aligned_ZINC000009232876_2_2.pdb,-15.104808,8.39841806168625,0.285714
4s0v_receptor_only_dc_aligned_ZINC000009232876_6_0.pdb,-15.075336,2.5052445780592465,0.142857
4s0v_receptor_only_dc_aligned_ZINC000009232876_9_1.pdb,-15.066935,8.190362906603836,0.285714
4s0v_receptor_only_dc_aligned_ZINC000009232876_1_2.pdb,-14.942916,6.675986323784447,0.25
4s0v_receptor_only_dc_aligned_ZINC000009232876_1_0.pdb,-14.895162,6.793507441695477,0.222222
4s0v_receptor_only_dc_aligned_ZINC000009232876_13_3.pdb,-14.829832,6.500046383901689,0.25
4s0v_receptor_only_dc_aligned_ZINC000009232876_14_4.pdb,-14.525346,6.7766110837430755,0.333333
4s0v_receptor_only_dc_aligned_ZINC000009232876_6_5.pdb,-14.439431,5.583682218432258,0.333333
4s0v_receptor_only_dc_aligned_ZINC000009232876_11_3.pdb,-14.411106,5.520438871408716,0.142857
4s0v_receptor_only_dc_aligned_ZINC000009232876_9_0.pdb,-14.400232,2.0824246012503798,0.375
4s0v_receptor_only_dc_aligned_ZINC000009232876_6_1.pdb,-14.304178,2.006388994627836,0.333333
4s0v_receptor_only_dc_aligned_ZINC000009232876_6_11.pdb,-14.298967,3.5528997228633488,0.333333
4s0v_receptor_only_dc_aligned_ZINC000009232876_14_3.pdb,-14.282208,6.344531121282555,0.222222
