file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z785486256_7_1.pdb,-16.980975,3.796512794137634,0.375
4s0v_receptor_only_dc_aligned_Z785486256_8_0.pdb,-16.522725,4.61008913291666,0.222222
4s0v_receptor_only_dc_aligned_Z785486256_8_2.pdb,-15.277626,4.616979921381526,0.125
4s0v_receptor_only_dc_aligned_Z785486256_7_0.pdb,-15.191296,3.9791723958252634,0.166667
4s0v_receptor_only_dc_aligned_Z785486256_7_3.pdb,-15.008276,2.5021370143823884,0.166667
4s0v_receptor_only_dc_aligned_Z785486256_7_2.pdb,-14.908043,3.4380088769796453,0.5
4s0v_receptor_only_dc_aligned_Z785486256_7_6.pdb,-13.375207,4.329664699197771,0.25
4s0v_receptor_only_dc_aligned_Z785486256_8_1.pdb,-12.396605,4.269081685393032,0.125
4s0v_receptor_only_dc_aligned_Z785486256_8_3.pdb,-12.174262,3.515106433942154,0.133333
4s0v_receptor_only_dc_aligned_Z785486256_7_5.pdb,-11.487352,4.932708859505291,0.166667
4s0v_receptor_only_dc_aligned_Z785486256_8_4.pdb,-10.993817,6.524072631415824,0.333333
4s0v_receptor_only_dc_aligned_Z785486256_7_4.pdb,-10.424608,2.745575526431632,0.125
