file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_Z997743992_10_2.pdb,-18.004249,6.019539790968792,0.125
4s0v_receptor_only_dc_aligned_Z997743992_7_0.pdb,-16.478312,9.522101097922533,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_9_0.pdb,-15.545342,5.650155168012212,0.285714
4s0v_receptor_only_dc_aligned_Z997743992_10_0.pdb,-14.966975,7.967931416413632,0.25
4s0v_receptor_only_dc_aligned_Z997743992_6_12.pdb,-14.947656,8.596908161342347,0.181818
4s0v_receptor_only_dc_aligned_Z997743992_6_8.pdb,-14.935572,11.049482307532633,0.166667
4s0v_receptor_only_dc_aligned_Z997743992_10_1.pdb,-14.665775,8.032286290897853,0.25
4s0v_receptor_only_dc_aligned_Z997743992_5_3.pdb,-14.458337,9.345560256158072,0.333333
4s0v_receptor_only_dc_aligned_Z997743992_11_0.pdb,-14.188334,7.066693391620024,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_5_1.pdb,-14.110624,6.896221416923971,0.166667
4s0v_receptor_only_dc_aligned_Z997743992_6_5.pdb,-14.077497,9.868209825239298,0.375
4s0v_receptor_only_dc_aligned_Z997743992_6_7.pdb,-13.699013,3.365846885386676,0.111111
4s0v_receptor_only_dc_aligned_Z997743992_6_10.pdb,-13.358311,8.583089965719097,0.25
4s0v_receptor_only_dc_aligned_Z997743992_11_2.pdb,-13.299952,8.339223501336429,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_7_1.pdb,-12.993293,8.935400217592331,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_6_4.pdb,-12.960858,5.936381880287114,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_1_0.pdb,-12.365596,3.9348761103284566,0.111111
4s0v_receptor_only_dc_aligned_Z997743992_11_1.pdb,-12.344517,4.21438319853934,0.25
4s0v_receptor_only_dc_aligned_Z997743992_5_2.pdb,-12.117668,8.685163376202182,0.333333
4s0v_receptor_only_dc_aligned_Z997743992_5_4.pdb,-11.972104,10.120433757763351,0.285714
4s0v_receptor_only_dc_aligned_Z997743992_3_0.pdb,-11.392505,1.7082637335281694,0.125
4s0v_receptor_only_dc_aligned_Z997743992_9_1.pdb,-11.146581,5.663340350257857,0.25
4s0v_receptor_only_dc_aligned_Z997743992_5_0.pdb,-11.032173,9.470941035586502,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_6_1.pdb,-10.99245,5.17284817609634,0.111111
4s0v_receptor_only_dc_aligned_Z997743992_6_6.pdb,-10.902502,8.181556401232163,0.333333
4s0v_receptor_only_dc_aligned_Z997743992_2_1.pdb,-10.766652,10.519625553426076,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_6_3.pdb,-10.144108,6.252880774815652,0.5
4s0v_receptor_only_dc_aligned_Z997743992_6_2.pdb,-10.062496,5.298980692269962,0.125
4s0v_receptor_only_dc_aligned_Z997743992_6_9.pdb,-9.948556,6.183068850628271,0.222222
4s0v_receptor_only_dc_aligned_Z997743992_1_1.pdb,-9.599239,7.845241301968615,0.166667
4s0v_receptor_only_dc_aligned_Z997743992_6_11.pdb,-9.492235,2.955973946228124,0.333333
4s0v_receptor_only_dc_aligned_Z997743992_6_0.pdb,-9.461463,4.536033178678254,0.142857
4s0v_receptor_only_dc_aligned_Z997743992_2_0.pdb,-9.412932,7.953700360979152,0.333333
4s0v_receptor_only_dc_aligned_Z997743992_1_2.pdb,-9.412297,7.6187531474904615,0.285714
