file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_PV-001876053561_9_9.pdb,-15.487782,1.6850905531117666,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_4_18.pdb,-14.539813,1.753674968423624,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_3_8.pdb,-14.476664,3.8729737256171943,0.375
4s0v_receptor_only_dc_aligned_PV-001876053561_9_8.pdb,-14.169227,1.4724055853524962,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_4_10.pdb,-14.163013,3.505850248217449,0.428571
4s0v_receptor_only_dc_aligned_PV-001876053561_5_11.pdb,-13.888354,1.5935651224448693,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_8_14.pdb,-13.798723,3.1648293069451934,0.142857
4s0v_receptor_only_dc_aligned_PV-001876053561_2_2.pdb,-13.661894,4.6820617160782145,0.571429
4s0v_receptor_only_dc_aligned_PV-001876053561_2_3.pdb,-13.652248,4.961572046573538,0.625
4s0v_receptor_only_dc_aligned_PV-001876053561_6_12.pdb,-13.539136,4.150852582261126,0.285714
4s0v_receptor_only_dc_aligned_PV-001876053561_12_13.pdb,-13.434109,9.304138116112854,0.333333
4s0v_receptor_only_dc_aligned_PV-001876053561_7_43.pdb,-13.42737,2.9234355990449084,0.125
4s0v_receptor_only_dc_aligned_PV-001876053561_1_17.pdb,-13.384641,4.118355515364228,0.25
4s0v_receptor_only_dc_aligned_PV-001876053561_6_10.pdb,-13.244372,4.145029012494065,0.333333
4s0v_receptor_only_dc_aligned_PV-001876053561_5_0.pdb,-13.218272,2.389744857910989,0.125
4s0v_receptor_only_dc_aligned_PV-001876053561_1_10.pdb,-13.103376,1.2729943352937203,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_9_26.pdb,-13.079716,2.0783119689157377,0.111111
4s0v_receptor_only_dc_aligned_PV-001876053561_12_11.pdb,-13.066799,3.215212738584839,0.428571
4s0v_receptor_only_dc_aligned_PV-001876053561_1_21.pdb,-13.066749,6.855683238681484,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_9_23.pdb,-13.025033,4.472303701975331,0.125
4s0v_receptor_only_dc_aligned_PV-001876053561_12_17.pdb,-13.016393,4.3739554356147075,0.285714
4s0v_receptor_only_dc_aligned_PV-001876053561_4_23.pdb,-12.995406,4.3402345480151725,0.142857
4s0v_receptor_only_dc_aligned_PV-001876053561_3_19.pdb,-12.902022,4.735862221989239,0.333333
4s0v_receptor_only_dc_aligned_PV-001876053561_12_14.pdb,-12.886816,9.505857157782705,0.333333
4s0v_receptor_only_dc_aligned_PV-001876053561_7_2.pdb,-12.866394,2.2280722495579637,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_3_11.pdb,-12.840722,1.2404449537599878,0.285714
4s0v_receptor_only_dc_aligned_PV-001876053561_12_24.pdb,-12.782268,4.891652763427739,0.375
4s0v_receptor_only_dc_aligned_PV-001876053561_5_4.pdb,-12.781484,2.4490066139738227,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_3_18.pdb,-12.775927,1.2897454162563733,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_1_29.pdb,-12.69375,4.8409393520455195,0.428571
4s0v_receptor_only_dc_aligned_PV-001876053561_6_15.pdb,-12.647051,6.369165624890841,0.142857
4s0v_receptor_only_dc_aligned_PV-001876053561_3_20.pdb,-12.624706,7.100184369129458,0.333333
4s0v_receptor_only_dc_aligned_PV-001876053561_1_19.pdb,-12.621987,4.531574979648609,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_6_34.pdb,-12.621097,5.052967696424605,0.25
4s0v_receptor_only_dc_aligned_PV-001876053561_8_3.pdb,-12.589242,3.084663857407841,0.222222
4s0v_receptor_only_dc_aligned_PV-001876053561_3_2.pdb,-12.573214,3.728227278940201,0.375
4s0v_receptor_only_dc_aligned_PV-001876053561_7_24.pdb,-12.502417,6.254030117030854,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_7_10.pdb,-12.484395,3.5850984295479087,0.25
4s0v_receptor_only_dc_aligned_PV-001876053561_7_45.pdb,-12.482404,1.1430729687253631,0.166667
4s0v_receptor_only_dc_aligned_PV-001876053561_10_10.pdb,-12.425116,1.6990036368072707,0.111111
4s0v_receptor_only_dc_aligned_PV-001876053561_5_3.pdb,-12.349313,3.5881186038334194,0.25
4s0v_receptor_only_dc_aligned_PV-001876053561_1_25.pdb,-12.348148,3.8162880398407832,0.25
