file,ddg,distance
4s0v_receptor_only_dc_aligned_PV-001843186024_7_6.pdb,-17.285607,6.746230361210648
4s0v_receptor_only_dc_aligned_PV-001843186024_3_7.pdb,-16.870403,3.8997117859965553
4s0v_receptor_only_dc_aligned_PV-001843186024_11_2.pdb,-16.870282,6.151619582901788
4s0v_receptor_only_dc_aligned_PV-001843186024_2_5.pdb,-16.828192,6.640832871658918
4s0v_receptor_only_dc_aligned_PV-001843186024_8_13.pdb,-16.816569,2.25213816715215
4s0v_receptor_only_dc_aligned_PV-001843186024_7_7.pdb,-16.753726,6.575975279528786
4s0v_receptor_only_dc_aligned_PV-001843186024_3_9.pdb,-16.677131,5.017249802503378
4s0v_receptor_only_dc_aligned_PV-001843186024_11_1.pdb,-16.676293,6.255574265180077
4s0v_receptor_only_dc_aligned_PV-001843186024_6_3.pdb,-16.533307,3.8566079437908973
4s0v_receptor_only_dc_aligned_PV-001843186024_3_8.pdb,-16.416858,5.380574298503319
4s0v_receptor_only_dc_aligned_PV-001843186024_12_1.pdb,-16.336142,5.429202352927164
4s0v_receptor_only_dc_aligned_PV-001843186024_12_0.pdb,-16.167803,5.312570605008469
4s0v_receptor_only_dc_aligned_PV-001843186024_6_16.pdb,-15.93417,2.347743029119535
4s0v_receptor_only_dc_aligned_PV-001843186024_12_10.pdb,-15.882654,6.846578708936157
4s0v_receptor_only_dc_aligned_PV-001843186024_12_8.pdb,-15.684398,6.868532697926645
4s0v_receptor_only_dc_aligned_PV-001843186024_12_6.pdb,-15.53238,6.784401894487368
4s0v_receptor_only_dc_aligned_PV-001843186024_12_9.pdb,-15.356873,6.795752425415591
4s0v_receptor_only_dc_aligned_PV-001843186024_5_6.pdb,-15.259101,6.598017518496092
4s0v_receptor_only_dc_aligned_PV-001843186024_12_2.pdb,-15.184033,8.401307732243342
4s0v_receptor_only_dc_aligned_PV-001843186024_7_0.pdb,-15.061273,3.5037329815935063
4s0v_receptor_only_dc_aligned_PV-001843186024_13_9.pdb,-14.882321,9.341306508029271
4s0v_receptor_only_dc_aligned_PV-001843186024_4_0.pdb,-14.86597,3.9680360848573017
4s0v_receptor_only_dc_aligned_PV-001843186024_8_3.pdb,-14.854801,6.975014960040451
4s0v_receptor_only_dc_aligned_PV-001843186024_14_20.pdb,-14.81376,6.317637765350004
4s0v_receptor_only_dc_aligned_PV-001843186024_7_5.pdb,-14.770473,7.220307064784734
4s0v_receptor_only_dc_aligned_PV-001843186024_5_5.pdb,-14.694231,6.4542643269623845
4s0v_receptor_only_dc_aligned_PV-001843186024_14_14.pdb,-14.660568,6.101028742148864
4s0v_receptor_only_dc_aligned_PV-001843186024_14_23.pdb,-14.632209,7.986872847434542
4s0v_receptor_only_dc_aligned_PV-001843186024_13_8.pdb,-14.595441,9.04862149233779
4s0v_receptor_only_dc_aligned_PV-001843186024_5_7.pdb,-14.583122,6.709839715518652
4s0v_receptor_only_dc_aligned_PV-001843186024_14_13.pdb,-14.576184,6.1672535567559095
4s0v_receptor_only_dc_aligned_PV-001843186024_6_7.pdb,-14.55809,6.66369714147685
4s0v_receptor_only_dc_aligned_PV-001843186024_8_21.pdb,-14.530009,7.765008831411002
4s0v_receptor_only_dc_aligned_PV-001843186024_8_14.pdb,-14.494964,7.33188895292387
4s0v_receptor_only_dc_aligned_PV-001843186024_6_6.pdb,-14.493816,5.627688779469821
4s0v_receptor_only_dc_aligned_PV-001843186024_6_14.pdb,-14.4731,8.12408906196609
4s0v_receptor_only_dc_aligned_PV-001843186024_12_3.pdb,-14.470883,8.892961992643123
4s0v_receptor_only_dc_aligned_PV-001843186024_13_3.pdb,-14.4214,5.326897979400357
4s0v_receptor_only_dc_aligned_PV-001843186024_13_5.pdb,-14.418505,7.661903953742099
4s0v_receptor_only_dc_aligned_PV-001843186024_6_13.pdb,-14.337577,4.954625310750018
4s0v_receptor_only_dc_aligned_PV-001843186024_9_3.pdb,-14.333423,6.348289372054527
4s0v_receptor_only_dc_aligned_PV-001843186024_3_4.pdb,-14.278891,5.554558817566831
4s0v_receptor_only_dc_aligned_PV-001843186024_4_4.pdb,-14.251187,7.377869117884577
4s0v_receptor_only_dc_aligned_PV-001843186024_5_4.pdb,-14.230377,5.124043854240441
4s0v_receptor_only_dc_aligned_PV-001843186024_6_12.pdb,-14.215717,6.487434785291911
4s0v_receptor_only_dc_aligned_PV-001843186024_6_4.pdb,-14.118552,6.425192413171311
4s0v_receptor_only_dc_aligned_PV-001843186024_6_17.pdb,-14.083306,9.547016964479576
4s0v_receptor_only_dc_aligned_PV-001843186024_12_4.pdb,-14.075155,4.897916215423191
4s0v_receptor_only_dc_aligned_PV-001843186024_3_6.pdb,-14.03824,4.711166465975479
4s0v_receptor_only_dc_aligned_PV-001843186024_2_7.pdb,-14.014758,8.537797317620907
4s0v_receptor_only_dc_aligned_PV-001843186024_4_9.pdb,-13.979281,7.870710484489262
4s0v_receptor_only_dc_aligned_PV-001843186024_5_3.pdb,-13.953443,7.975474043699838
4s0v_receptor_only_dc_aligned_PV-001843186024_5_13.pdb,-13.799258,8.770526439598129
4s0v_receptor_only_dc_aligned_PV-001843186024_8_8.pdb,-13.792803,5.655199804584556
4s0v_receptor_only_dc_aligned_PV-001843186024_5_12.pdb,-13.791562,8.903230984770568
