file,ddg,distance,real_motif_ratio
4s0v_receptor_only_dc_aligned_ZINC000329022635_12_3.pdb,-18.724297,1.6109682971066446,0.222222
4s0v_receptor_only_dc_aligned_ZINC000329022635_7_5.pdb,-18.595198,3.0724237399162093,0.153846
4s0v_receptor_only_dc_aligned_ZINC000329022635_14_0.pdb,-18.218929,1.5704257004002247,0.1
4s0v_receptor_only_dc_aligned_ZINC000329022635_7_7.pdb,-17.386934,2.6477318906947325,0.222222
4s0v_receptor_only_dc_aligned_ZINC000329022635_9_4.pdb,-16.868239,4.937091769396122,0.111111
4s0v_receptor_only_dc_aligned_ZINC000329022635_8_2.pdb,-16.754611,3.3075271365102794,0.166667
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_31.pdb,-16.724552,1.7665194693948234,0.166667
4s0v_receptor_only_dc_aligned_ZINC000329022635_5_5.pdb,-16.588719,2.431120935200733,0.090909
4s0v_receptor_only_dc_aligned_ZINC000329022635_11_1.pdb,-16.517286,6.085169636772036,0.3
4s0v_receptor_only_dc_aligned_ZINC000329022635_3_4.pdb,-16.425471,5.350830211004519,0.375
4s0v_receptor_only_dc_aligned_ZINC000329022635_8_0.pdb,-16.402338,2.063723873488971,0.125
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_37.pdb,-16.04579,2.863232312772484,0.222222
4s0v_receptor_only_dc_aligned_ZINC000329022635_7_4.pdb,-15.930068,3.01801756343053,0.3
4s0v_receptor_only_dc_aligned_ZINC000329022635_5_7.pdb,-15.532666,2.4867492908802693,0.090909
4s0v_receptor_only_dc_aligned_ZINC000329022635_7_6.pdb,-15.471083,2.899084641886108,0.2
4s0v_receptor_only_dc_aligned_ZINC000329022635_11_4.pdb,-15.446563,5.423145371840279,0.222222
4s0v_receptor_only_dc_aligned_ZINC000329022635_9_0.pdb,-15.424005,4.812559194741666,0.285714
4s0v_receptor_only_dc_aligned_ZINC000329022635_11_8.pdb,-15.369184,5.451622273922642,0.142857
4s0v_receptor_only_dc_aligned_ZINC000329022635_5_6.pdb,-15.347491,2.4675412774931265,0.181818
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_24.pdb,-15.291278,2.849079252877091,0.2
4s0v_receptor_only_dc_aligned_ZINC000329022635_7_2.pdb,-15.268578,2.962485929665263,0.1
4s0v_receptor_only_dc_aligned_ZINC000329022635_11_5.pdb,-15.213484,3.3200932113343034,0.1
4s0v_receptor_only_dc_aligned_ZINC000329022635_12_2.pdb,-15.181221,4.273949513897343,0.111111
4s0v_receptor_only_dc_aligned_ZINC000329022635_9_5.pdb,-15.175125,2.563107875984879,0.111111
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_18.pdb,-14.970241,4.469574253634443,0.111111
4s0v_receptor_only_dc_aligned_ZINC000329022635_3_2.pdb,-14.961719,4.6794990496301025,0.222222
4s0v_receptor_only_dc_aligned_ZINC000329022635_3_3.pdb,-14.673822,5.706821860863431,0.125
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_14.pdb,-14.672418,5.306719542879177,0.125
4s0v_receptor_only_dc_aligned_ZINC000329022635_11_6.pdb,-14.626458,2.7687703344214216,0.111111
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_6.pdb,-14.49142,4.27060864741809,0.1
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_2.pdb,-14.415257,4.632239175536448,0.1
4s0v_receptor_only_dc_aligned_ZINC000329022635_3_5.pdb,-14.27323,4.844860245365709,0.3
4s0v_receptor_only_dc_aligned_ZINC000329022635_13_30.pdb,-14.269655,1.8608131565510124,0.153846
4s0v_receptor_only_dc_aligned_ZINC000329022635_11_7.pdb,-14.236677,3.0341278397131664,0.1
