file,ddg,distance
4s0v_receptor_only_dc_aligned_Z1840327359_7_3.pdb,-22.051561,2.680004691548535
4s0v_receptor_only_dc_aligned_Z1840327359_7_2.pdb,-20.817942,2.539701357323585
4s0v_receptor_only_dc_aligned_Z1840327359_5_9.pdb,-19.675966,4.943035115700354
4s0v_receptor_only_dc_aligned_Z1840327359_5_12.pdb,-18.92969,4.977862247558804
4s0v_receptor_only_dc_aligned_Z1840327359_7_1.pdb,-18.086191,4.9943551271727085
4s0v_receptor_only_dc_aligned_Z1840327359_5_11.pdb,-17.686297,4.5134179460439
4s0v_receptor_only_dc_aligned_Z1840327359_3_1.pdb,-17.622721,3.3153358046204815
4s0v_receptor_only_dc_aligned_Z1840327359_3_0.pdb,-17.377414,4.457752990025719
4s0v_receptor_only_dc_aligned_Z1840327359_6_3.pdb,-17.311171,4.535284623715045
4s0v_receptor_only_dc_aligned_Z1840327359_7_7.pdb,-17.149916,4.0472114227858675
4s0v_receptor_only_dc_aligned_Z1840327359_6_4.pdb,-17.012904,4.587120767710943
4s0v_receptor_only_dc_aligned_Z1840327359_4_0.pdb,-16.539363,5.037871250511723
4s0v_receptor_only_dc_aligned_Z1840327359_10_2.pdb,-16.279662,5.04934343956277
4s0v_receptor_only_dc_aligned_Z1840327359_7_6.pdb,-16.22299,4.4707361934408905
4s0v_receptor_only_dc_aligned_Z1840327359_8_0.pdb,-16.156299,6.081087080715633
4s0v_receptor_only_dc_aligned_Z1840327359_6_7.pdb,-16.018035,4.626320336777461
4s0v_receptor_only_dc_aligned_Z1840327359_5_10.pdb,-15.695503,8.156260336348861
4s0v_receptor_only_dc_aligned_Z1840327359_10_4.pdb,-15.604556,4.067876657358198
4s0v_receptor_only_dc_aligned_Z1840327359_7_0.pdb,-15.487041,5.700382817712362
4s0v_receptor_only_dc_aligned_Z1840327359_9_3.pdb,-15.396643,4.7325903355434304
4s0v_receptor_only_dc_aligned_Z1840327359_10_3.pdb,-15.184257,3.9496979583936556
4s0v_receptor_only_dc_aligned_Z1840327359_5_5.pdb,-14.971687,12.003996982188346
4s0v_receptor_only_dc_aligned_Z1840327359_6_5.pdb,-14.871461,6.201371184852628
4s0v_receptor_only_dc_aligned_Z1840327359_5_1.pdb,-14.669943,12.216700023113221
4s0v_receptor_only_dc_aligned_Z1840327359_10_5.pdb,-14.398091,4.985707732213249
4s0v_receptor_only_dc_aligned_Z1840327359_9_4.pdb,-14.390215,4.097263572116939
4s0v_receptor_only_dc_aligned_Z1840327359_14_3.pdb,-14.304032,8.421122186027722
4s0v_receptor_only_dc_aligned_Z1840327359_6_2.pdb,-14.212248,6.069385004425562
4s0v_receptor_only_dc_aligned_Z1840327359_5_2.pdb,-14.180295,11.783837180616153
4s0v_receptor_only_dc_aligned_Z1840327359_5_7.pdb,-13.981939,9.484226907189386
4s0v_receptor_only_dc_aligned_Z1840327359_10_0.pdb,-13.762414,5.9977122421335
4s0v_receptor_only_dc_aligned_Z1840327359_5_4.pdb,-13.677094,8.99855489814574
4s0v_receptor_only_dc_aligned_Z1840327359_12_4.pdb,-12.716929,3.19874694850698
4s0v_receptor_only_dc_aligned_Z1840327359_7_4.pdb,-12.709472,7.3761438636733905
4s0v_receptor_only_dc_aligned_Z1840327359_11_1.pdb,-12.644891,9.87607989980361
4s0v_receptor_only_dc_aligned_Z1840327359_10_6.pdb,-12.482395,8.03830443148271
4s0v_receptor_only_dc_aligned_Z1840327359_10_1.pdb,-12.298649,9.426888167269734
4s0v_receptor_only_dc_aligned_Z1840327359_12_2.pdb,-12.241782,11.49999492476023
4s0v_receptor_only_dc_aligned_Z1840327359_14_0.pdb,-12.178236,10.356853515670538
4s0v_receptor_only_dc_aligned_Z1840327359_5_0.pdb,-12.152888,6.5276058049843435
4s0v_receptor_only_dc_aligned_Z1840327359_6_8.pdb,-12.011217,6.779821500340752
4s0v_receptor_only_dc_aligned_Z1840327359_14_5.pdb,-11.842324,6.209596458542183
4s0v_receptor_only_dc_aligned_Z1840327359_4_1.pdb,-11.59844,4.821165528702668
4s0v_receptor_only_dc_aligned_Z1840327359_12_1.pdb,-11.478187,11.205474881943411
4s0v_receptor_only_dc_aligned_Z1840327359_14_6.pdb,-11.255022,9.6988484411443
4s0v_receptor_only_dc_aligned_Z1840327359_12_5.pdb,-10.965161,7.861703644540983
4s0v_receptor_only_dc_aligned_Z1840327359_14_2.pdb,-10.830712,10.542218610226518
4s0v_receptor_only_dc_aligned_Z1840327359_9_2.pdb,-10.810045,8.017225587425305
4s0v_receptor_only_dc_aligned_Z1840327359_6_6.pdb,-10.534272,7.763690551885219
4s0v_receptor_only_dc_aligned_Z1840327359_5_8.pdb,-10.369584,9.746973620866576
4s0v_receptor_only_dc_aligned_Z1840327359_6_0.pdb,-10.362531,9.257700064142684
4s0v_receptor_only_dc_aligned_Z1840327359_7_5.pdb,-10.167864,2.98196261259138
4s0v_receptor_only_dc_aligned_Z1840327359_14_4.pdb,-10.139503,12.315595845308254
4s0v_receptor_only_dc_aligned_Z1840327359_11_0.pdb,-10.13915,5.310112747117217
4s0v_receptor_only_dc_aligned_Z1840327359_9_1.pdb,-10.093141,8.872162201226367
4s0v_receptor_only_dc_aligned_Z1840327359_5_6.pdb,-9.950341,9.217481561304393
4s0v_receptor_only_dc_aligned_Z1840327359_12_0.pdb,-9.808876,11.702676479354498
4s0v_receptor_only_dc_aligned_Z1840327359_14_1.pdb,-9.754001,10.386935883646752
4s0v_receptor_only_dc_aligned_Z1840327359_9_0.pdb,-9.737064,10.73716230186384
4s0v_receptor_only_dc_aligned_Z1840327359_6_1.pdb,-9.383081,8.98997806885311
4s0v_receptor_only_dc_aligned_Z1840327359_11_2.pdb,-9.349408,7.0442762958119225
4s0v_receptor_only_dc_aligned_Z1840327359_5_3.pdb,-9.142322,9.004726552490068
4s0v_receptor_only_dc_aligned_Z1840327359_12_3.pdb,-9.029556,11.97536489556347
