system,best_all,best_10,best_1
PV-001857387691,2.18193431403893,2.18193431403893,5.519665995554382
PV-001914655641,2.233273282241641,3.9412461717900333,5.749075095751438
PV-002013429993,3.7146353302976585,3.7146353302976585,5.609798663574586
PV-002019069689,n.a.,n.a.,n.a.,n.a.
PV-002019780159,2.6360999326491332,2.6360999326491332,3.264455845035635
PV-002032268160,n.a.,n.a.,n.a.,n.a.
PV-002042977989,3.030099249331245,3.030099249331245,3.030099249331245
Z1022426824,0.47027480784931747,1.2061656874859623,1.5505862591088726
Z1070904302,n.a.,n.a.,n.a.,n.a.
Z1095050586,0.6251059000558573,4.172375212757893,6.043068092255915
Z115536850,3.1064338410981702,3.530073673532733,5.074495117445406
Z1865600915,1.9379525293100908,1.9379525293100908,5.952512151771904
Z2840719247,1.3798765200059506,1.3798765200059506,1.7898813577086636
Z2902695331,n.a.,n.a.,n.a.,n.a.
Z729482774,1.0939832002280447,1.172123345099536,1.9884109819143467
Z851257696,n.a.,n.a.,n.a.,n.a.
ZINC000013372011,1.2995852142767153,1.2995852142767153,3.671790091505812
ZINC000040390788,2.266993694716186,2.266993694716186,2.266993694716186
ZINC001322364044,2.3273495107984132,2.777802117896071,6.359593447570887
PV-002004359614,n.a.,n.a.,n.a.,n.a.
Z1097024691,2.3774961250212376,2.3774961250212376,2.3774961250212376
Z33451704,1.9466160707483204,2.0807915111518995,7.074028042928292
Z49903699,2.1489899826434113,2.1489899826434113,2.259526442600243
Z795160176,n.a.,n.a.,n.a.,n.a.
Z645472842,n.a.,n.a.,n.a.,n.a.
Z1281625251,0.4602437140985071,2.2182249964252123,5.128215375593791
ZINC000096319666,0.25260068169589867,0.7982882918753195,3.7285505095946134
PV-001798685621,1.1441730578580007,1.5071899355930969,3.0951625190821983
PV-001836628586,1.5846611199302374,2.052084686730849,3.570406482591259
PV-002011719663,2.680099423355141,2.680099423355141,2.9066754879958485
PV-002023524098,6.660112990216382,6.660112990216382,6.660112990216382
PV-002032794616,1.1357450605486048,1.1357450605486048,4.209917431938187
Z1147533771,2.131686836930384,2.131686836930384,7.391696155097386
Z116504226,2.588274733025455,2.588274733025455,4.76490916049943
Z165057646,4.386322565270932,4.386322565270932,8.366843242796955
Z1840327359,2.539701357323585,2.539701357323585,2.680004691548535
Z230575688,n.a.,n.a.,n.a.,n.a.
Z286472536,2.3761675515469625,2.3761675515469625,5.788922845723078
Z31300141,1.9180544348880113,1.9180544348880113,1.9180544348880113
Z380599110,4.123262102049194,4.123262102049194,8.674949846751069
Z64344437,2.432822464922861,2.432822464922861,6.240000454616255
Z847964730,0.9114862511059134,1.9853021444539851,2.544284996129515
ZINC000016607715,3.1113219523019198,3.764890413518181,3.8132293855786483
ZINC000016735053,2.201254335530394,3.227225070052874,7.087853082959417
ZINC000019962213,5.340429413611195,5.340429413611195,8.92640168836182
ZINC000041154385,2.3409820845489,4.220182468572554,6.065347289865853
