file,ddg,distance
4s0v_receptor_only_dc_aligned_ZINC000002416703_11_1.pdb,-20.253317,5.508077477287008
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_6.pdb,-19.241957,5.7305263149318115
4s0v_receptor_only_dc_aligned_ZINC000002416703_6_0.pdb,-19.081392,5.755092939948398
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_2.pdb,-19.041087,5.5343306000224715
4s0v_receptor_only_dc_aligned_ZINC000002416703_8_2.pdb,-18.724166,5.407434254170872
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_5.pdb,-18.615113,5.504969925767161
4s0v_receptor_only_dc_aligned_ZINC000002416703_10_2.pdb,-18.446245,5.286759609079458
4s0v_receptor_only_dc_aligned_ZINC000002416703_10_4.pdb,-18.358585,5.203486179244952
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_11.pdb,-18.203403,5.6587918501180035
4s0v_receptor_only_dc_aligned_ZINC000002416703_10_5.pdb,-18.192788,5.229263068047732
4s0v_receptor_only_dc_aligned_ZINC000002416703_3_0.pdb,-17.996222,5.553233157719215
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_3.pdb,-17.804001,5.44265210428624
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_7.pdb,-17.794336,5.90310211779907
4s0v_receptor_only_dc_aligned_ZINC000002416703_4_3.pdb,-17.77806,5.977824138426937
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_1.pdb,-17.732761,5.3686416304882405
4s0v_receptor_only_dc_aligned_ZINC000002416703_10_3.pdb,-17.697556,5.475891309497845
4s0v_receptor_only_dc_aligned_ZINC000002416703_3_2.pdb,-17.2004,5.79566466936079
4s0v_receptor_only_dc_aligned_ZINC000002416703_3_3.pdb,-16.597916,5.673001490711075
4s0v_receptor_only_dc_aligned_ZINC000002416703_3_1.pdb,-16.271146,5.639694105015695
4s0v_receptor_only_dc_aligned_ZINC000002416703_2_0.pdb,-16.093023,5.797636617894727
4s0v_receptor_only_dc_aligned_ZINC000002416703_7_0.pdb,-16.019241,2.202613654053337
4s0v_receptor_only_dc_aligned_ZINC000002416703_4_0.pdb,-15.602867,5.757701706489166
4s0v_receptor_only_dc_aligned_ZINC000002416703_4_2.pdb,-15.529199,5.468860872592537
4s0v_receptor_only_dc_aligned_ZINC000002416703_10_1.pdb,-15.407262,5.8906671406252
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_4.pdb,-14.127093,10.713561164888219
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_9.pdb,-13.77485,6.38058637281964
4s0v_receptor_only_dc_aligned_ZINC000002416703_3_5.pdb,-13.754019,10.647236624920456
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_2.pdb,-13.572319,5.07550941324288
4s0v_receptor_only_dc_aligned_ZINC000002416703_8_3.pdb,-13.506376,5.178455755439148
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_9.pdb,-13.429554,5.045604757418615
4s0v_receptor_only_dc_aligned_ZINC000002416703_1_0.pdb,-13.210185,6.381411560865123
4s0v_receptor_only_dc_aligned_ZINC000002416703_10_0.pdb,-13.123013,5.108959760230361
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_1.pdb,-13.119146,5.159063526115598
4s0v_receptor_only_dc_aligned_ZINC000002416703_3_4.pdb,-12.832047,8.382065041393961
4s0v_receptor_only_dc_aligned_ZINC000002416703_7_5.pdb,-12.426029,5.2480578800301085
4s0v_receptor_only_dc_aligned_ZINC000002416703_8_1.pdb,-12.327196,5.325762409139346
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_10.pdb,-12.320476,8.17745937156493
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_6.pdb,-11.988406,9.586698513192648
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_7.pdb,-11.900676,8.141594851169128
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_0.pdb,-11.134781,9.028595200837195
4s0v_receptor_only_dc_aligned_ZINC000002416703_7_1.pdb,-11.096979,1.5819326843709403
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_5.pdb,-11.060653,8.491363670740325
4s0v_receptor_only_dc_aligned_ZINC000002416703_6_1.pdb,-11.013236,8.700507348406202
4s0v_receptor_only_dc_aligned_ZINC000002416703_3_6.pdb,-10.972306,8.332005602266388
4s0v_receptor_only_dc_aligned_ZINC000002416703_8_0.pdb,-10.471584,1.7178099976572547
4s0v_receptor_only_dc_aligned_ZINC000002416703_7_4.pdb,-10.38448,5.586555497350742
4s0v_receptor_only_dc_aligned_ZINC000002416703_4_1.pdb,-10.250915,10.391562890448595
4s0v_receptor_only_dc_aligned_ZINC000002416703_7_2.pdb,-10.219788,10.15655486171991
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_0.pdb,-9.839023,4.0158081396061815
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_3.pdb,-9.804706,2.0793084662882033
4s0v_receptor_only_dc_aligned_ZINC000002416703_9_8.pdb,-9.608158,6.120840997046422
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_4.pdb,-9.594821,2.045446686532824
4s0v_receptor_only_dc_aligned_ZINC000002416703_11_0.pdb,-9.584432,9.53061301242964
4s0v_receptor_only_dc_aligned_ZINC000002416703_7_3.pdb,-9.332739,5.521616428814507
4s0v_receptor_only_dc_aligned_ZINC000002416703_12_8.pdb,-9.17508,2.159316285723126
