file,ddg,distance
4s0v_receptor_only_dc_aligned_PV-001898751745_11_0.pdb,-21.70426,1.376698420916114
4s0v_receptor_only_dc_aligned_PV-001898751745_11_1.pdb,-17.294086,0.8169244133741537
4s0v_receptor_only_dc_aligned_PV-001898751745_3_3.pdb,-16.897529,5.356015939325365
4s0v_receptor_only_dc_aligned_PV-001898751745_3_1.pdb,-16.804156,5.498898868779971
4s0v_receptor_only_dc_aligned_PV-001898751745_5_18.pdb,-16.725559,9.61509614347768
4s0v_receptor_only_dc_aligned_PV-001898751745_5_17.pdb,-16.530542,9.467660480530945
4s0v_receptor_only_dc_aligned_PV-001898751745_2_3.pdb,-16.317775,5.045281487234311
4s0v_receptor_only_dc_aligned_PV-001898751745_5_13.pdb,-15.818705,4.702097777427116
4s0v_receptor_only_dc_aligned_PV-001898751745_5_1.pdb,-15.534792,4.997640460106751
4s0v_receptor_only_dc_aligned_PV-001898751745_5_7.pdb,-15.26661,9.642164829581484
4s0v_receptor_only_dc_aligned_PV-001898751745_5_10.pdb,-15.113947,3.9936988453816182
4s0v_receptor_only_dc_aligned_PV-001898751745_1_2.pdb,-14.983174,5.273680555012535
4s0v_receptor_only_dc_aligned_PV-001898751745_5_15.pdb,-14.78361,5.09679158872832
4s0v_receptor_only_dc_aligned_PV-001898751745_11_6.pdb,-14.74496,8.66696812541963
4s0v_receptor_only_dc_aligned_PV-001898751745_1_0.pdb,-14.480802,4.970741995430001
4s0v_receptor_only_dc_aligned_PV-001898751745_5_11.pdb,-14.108912,8.755731401823226
4s0v_receptor_only_dc_aligned_PV-001898751745_9_1.pdb,-14.018982,9.294359071193178
4s0v_receptor_only_dc_aligned_PV-001898751745_5_2.pdb,-13.993345,5.148879182622559
4s0v_receptor_only_dc_aligned_PV-001898751745_8_0.pdb,-13.772055,5.509595509189697
4s0v_receptor_only_dc_aligned_PV-001898751745_11_7.pdb,-13.749761,4.938753268063084
4s0v_receptor_only_dc_aligned_PV-001898751745_2_0.pdb,-13.740803,8.652769242702538
4s0v_receptor_only_dc_aligned_PV-001898751745_11_5.pdb,-13.716491,8.594221862911638
4s0v_receptor_only_dc_aligned_PV-001898751745_12_1.pdb,-13.63216,5.177463920339966
4s0v_receptor_only_dc_aligned_PV-001898751745_2_4.pdb,-13.520483,6.240919202853774
4s0v_receptor_only_dc_aligned_PV-001898751745_5_3.pdb,-13.456435,4.084192715840323
4s0v_receptor_only_dc_aligned_PV-001898751745_5_12.pdb,-13.383218,5.059119152926703
4s0v_receptor_only_dc_aligned_PV-001898751745_5_16.pdb,-13.247165,8.729418008554571
4s0v_receptor_only_dc_aligned_PV-001898751745_3_7.pdb,-13.21959,4.850017317396098
4s0v_receptor_only_dc_aligned_PV-001898751745_4_4.pdb,-13.179147,6.868204789490658
4s0v_receptor_only_dc_aligned_PV-001898751745_2_2.pdb,-13.081701,9.111227663850029
4s0v_receptor_only_dc_aligned_PV-001898751745_4_7.pdb,-12.97054,6.750052152061951
4s0v_receptor_only_dc_aligned_PV-001898751745_5_0.pdb,-12.88817,4.246424934113498
4s0v_receptor_only_dc_aligned_PV-001898751745_4_6.pdb,-12.706301,6.469231027687846
4s0v_receptor_only_dc_aligned_PV-001898751745_3_0.pdb,-12.691564,8.208085721974689
4s0v_receptor_only_dc_aligned_PV-001898751745_5_8.pdb,-12.587087,7.313201470684618
4s0v_receptor_only_dc_aligned_PV-001898751745_11_4.pdb,-12.574282,7.296162029839521
4s0v_receptor_only_dc_aligned_PV-001898751745_11_3.pdb,-12.563896,0.9712222213164403
4s0v_receptor_only_dc_aligned_PV-001898751745_4_5.pdb,-12.546969,6.70021240684965
4s0v_receptor_only_dc_aligned_PV-001898751745_12_0.pdb,-12.544765,5.343607572358843
4s0v_receptor_only_dc_aligned_PV-001898751745_4_1.pdb,-12.385836,5.807075941255999
4s0v_receptor_only_dc_aligned_PV-001898751745_5_5.pdb,-12.277283,4.051968171852422
4s0v_receptor_only_dc_aligned_PV-001898751745_4_3.pdb,-12.268984,5.62051873421453
4s0v_receptor_only_dc_aligned_PV-001898751745_3_6.pdb,-12.087157,5.6112663481593215
4s0v_receptor_only_dc_aligned_PV-001898751745_5_9.pdb,-11.945906,7.081421058638693
4s0v_receptor_only_dc_aligned_PV-001898751745_2_5.pdb,-11.905662,7.05359405043802
4s0v_receptor_only_dc_aligned_PV-001898751745_9_0.pdb,-11.563582,10.179786614618372
4s0v_receptor_only_dc_aligned_PV-001898751745_6_1.pdb,-11.539154,8.240900980128448
4s0v_receptor_only_dc_aligned_PV-001898751745_11_2.pdb,-11.418327,5.061551559484837
4s0v_receptor_only_dc_aligned_PV-001898751745_5_14.pdb,-11.397393,5.2869849331103795
4s0v_receptor_only_dc_aligned_PV-001898751745_5_4.pdb,-11.329576,4.433586934174295
4s0v_receptor_only_dc_aligned_PV-001898751745_3_9.pdb,-11.321617,6.852042870448814
4s0v_receptor_only_dc_aligned_PV-001898751745_1_1.pdb,-11.291231,8.729539837972483
4s0v_receptor_only_dc_aligned_PV-001898751745_4_0.pdb,-11.263941,8.74164338909629
4s0v_receptor_only_dc_aligned_PV-001898751745_12_2.pdb,-11.202584,6.56686266793065
4s0v_receptor_only_dc_aligned_PV-001898751745_3_2.pdb,-10.984177,10.76988758534622
4s0v_receptor_only_dc_aligned_PV-001898751745_3_8.pdb,-10.872871,6.988429855262289
4s0v_receptor_only_dc_aligned_PV-001898751745_4_2.pdb,-10.703226,5.168265957679844
4s0v_receptor_only_dc_aligned_PV-001898751745_13_0.pdb,-10.666828,10.821864222091863
4s0v_receptor_only_dc_aligned_PV-001898751745_5_6.pdb,-10.647714,3.7673130050379284
4s0v_receptor_only_dc_aligned_PV-001898751745_7_1.pdb,-10.234881,8.892238108026675
4s0v_receptor_only_dc_aligned_PV-001898751745_3_5.pdb,-10.109874,3.918291389293081
4s0v_receptor_only_dc_aligned_PV-001898751745_6_0.pdb,-9.803254,9.39001608004944
4s0v_receptor_only_dc_aligned_PV-001898751745_2_1.pdb,-9.738508,10.496570735472009
4s0v_receptor_only_dc_aligned_PV-001898751745_7_0.pdb,-9.7222,4.467817929041191
4s0v_receptor_only_dc_aligned_PV-001898751745_6_2.pdb,-9.334776,7.392186538814073
4s0v_receptor_only_dc_aligned_PV-001898751745_3_4.pdb,-9.099019,11.017001837639306
